0,1,2,3,4,5,6,7,8,9,10
127,794,1696,5452,4013,6131,3737,3733,11172,4713,11873
128,938,8723,9023,6538,10805,2667,11352,11279,9092,7705
129,667,6481,427,205,1148,264,192,10995,7328,1562
130,199,2605,3009,2157,3377,6114,7817,6814,2583,12455
131,1196,8211,7367,7771,11725,4704,1962,1092,3261,7796
132,7790,1855,3782,5486,891,5883,11349,348,4976,6068
133,2991,8235,115,1497,793,5290,12734,4028,4904,13326
134,261,5019,138,710,60,3918,58,11532,3903,8073
135,8581,9652,624,9855,7149,3365,7672,344,10301,8863
136,9832,9697,9630,10920,3526,11259,5390,2360,10902,2478
137,7289,11689,10721,10029,2093,12452,6011,10546,8062,6798
138,3918,3903,11532,5019,134,58,710,261,2550,962
139,4147,7465,1399,8857,13170,13086,1449,4590,1111,10773
140,917,1599,2095,5796,979,1773,2427,7212,13070,2821
141,186,9343,3330,5042,865,3000,761,660,3084,3293
142,9147,2358,1097,11617,204,6883,2842,2052,771,12708
143,2487,2407,2552,6396,3779,4503,6699,4443,2048,11085
144,3207,7864,282,3138,2429,1684,1120,1403,7708,1801
145,2821,5796,1264,22,1552,13070,338,6622,646,1773
146,3,5196,11201,3053,858,5879,12477,697,5856,4767
147,3562,6084,4790,2433,6717,4645,13038,3867,8244,3759
148,9112,833,5867,5102,3998,3154,438,9711,11293,225
149,4026,11840,4915,7921,5759,3272,8427,11020,8640,12341
150,8117,9056,3678,45,11881,6915,12161,260,2089,5386
151,2890,8629,8566,10511,3456,10610,11041,7421,7631,2147
152,6080,2747,8477,4959,4064,9133,12148,11098,109,4348
153,847,163,514,2250,235,169,12122,1329,2825,11702
154,10900,508,7218,6996,2779,652,6219,5381,280,3701
155,6470,6533,2692,6773,256,7062,2475,5637,9803,1416
156,712,1759,7251,7668,10976,11902,13396,13286,7319,3818
157,7261,8310,11258,8125,7136,8667,9460,457,10736,122
158,9835,3849,2004,8852,5388,2109,6738,9699,5191,843
159,10064,4194,8104,9674,9694,11355,6802,2873,1107,189
160,1649,1258,5311,9422,7775,3699,2303,5140,10490,346
161,241,733,314,9906,872,12085,8602,12961,11197,4657
162,1880,1818,6845,9385,2444,12900,3701,9438,21,213
163,153,847,736,71,3535,748,916,3409,3777,1881
164,354,8259,4365,7446,9671,7167,9436,12134,12851,3682
165,8933,12434,7472,7877,11615,10388,8880,8799,13391,12875
166,3721,4641,4438,8049,5356,10956,8342,9345,10701,12372
167,1923,7121,70,495,9641,2644,3605,2564,6167,12553
168,11959,6358,12828,1981,6421,6857,12218,5431,2025,4765
169,12122,1329,4630,1669,1244,35,10183,11791,11702,5844
170,5835,552,1159,39,6115,13249,9922,5223,11045,7035
171,5469,275,5818,5058,2977,6930,5346,3743,6422,1216
172,3690,1462,1004,1087,1095,9733,1623,2483,4226,2369
173,1660,9596,5674,209,13034,10630,1988,4172,1351,13186
174,6434,11723,7212,2427,338,5796,646,3067,11677,7166
175,13399,8189,12903,745,728,12263,4254,8815,10985,9319
176,10401,661,795,3827,2512,2196,3763,6496,1628,5535
177,12678,4272,8346,402,4857,10639,1474,8184,11014,6036
178,92,2710,20,12316,4243,11270,12094,6012,9836,103
179,3373,7433,4360,2373,12460,3997,2529,6151,10083,4127
180,4735,11626,13055,9098,947,855,81,1264,11533,338
181,509,248,6660,2769,4604,5629,11675,3001,7158,3018
182,2696,11539,3934,8533,6826,11138,12475,3524,7538,2312
183,10108,4250,1287,10669,13189,645,9265,2961,4826,2452
184,7542,2115,404,508,6219,5381,7218,12079,154,652
185,1255,471,8109,1367,5037,1665,5807,12808,11498,6631
186,9343,141,9575,3330,3000,865,5042,1974,660,3293
187,6671,9913,7733,6275,2817,7430,10484,5597,4508,5435
188,9068,8748,7213,13377,6171,9909,12953,4256,1320,11186
189,10064,8513,159,6802,11355,8104,4194,7364,4954,11956
190,13011,10894,4304,12609,10087,7406,8129,9446,3739,976
191,3502,1844,9679,5095,11302,4812,559,329,733,241
192,1562,7328,9412,10995,11648,12384,9123,8387,7019,10365
193,8817,4872,2263,1518,10731,2173,6260,4042,8048,714
194,11482,9245,941,6249,8154,2719,5876,9049,4716,12709
195,106,5804,382,6289,4079,3247,12688,9546,1955,11067
196,8042,11772,554,6202,781,13222,8374,10524,10849,8212
197,5115,6450,11678,774,1018,5146,12359,5216,10729,421
198,7077,5005,6231,7132,8350,4474,7428,3014,1248,12912
199,130,2157,6397,3009,3377,6814,2583,11952,5513,6114
200,12791,4926,2805,6149,11134,3972,6126,10092,7989,6787
201,238,9070,2669,11569,671,10848,1409,2145,9707,5854
202,1266,8855,13376,1581,3120,1531,10350,3439,4277,124
203,886,7491,1708,2585,1836,7581,3902,4464,13200,7127
204,556,771,10622,10403,11617,2533,1680,2842,6677,8677
205,427,264,1148,667,129,6481,192,1562,10995,7328
206,10929,8217,10035,2983,1272,6215,6608,613,5175,9947
207,2,5,8996,7204,967,10132,6238,11509,3043,6304
208,7704,4005,7211,9219,2741,6560,2663,8832,629,7101
209,1988,9596,5674,3709,173,1660,13186,6544,3858,9489
210,11611,11058,2254,4341,5031,1644,9928,5033,8896,2084
211,2296,8751,12058,10021,9274,6539,8475,9395,12524,11024
212,6464,9047,4424,4395,13037,8681,9667,7157,390,13117
213,3701,21,6996,154,12329,9385,7707,2779,508,10900
214,5097,4277,5138,4275,1531,3235,5257,5540,7074,11581
215,2879,571,11175,6634,8666,8319,10607,10882,2022,11111
216,11343,3559,1188,8875,12183,11785,547,7646,1469,10297
217,945,1658,2036,1699,1570,6595,1667,2395,1098,605
218,827,12804,1362,892,1080,1401,6295,4342,9358,6438
219,2143,8850,9880,12019,8952,2225,2813,8068,13042,8769
220,1714,384,1089,6953,5035,7699,5678,4626,9148,4276
221,6353,4548,453,5055,5054,7635,5920,11300,11462,10930
222,11153,2788,9983,1512,6207,2728,13232,6912,4961,746
223,64,12853,7285,11250,1069,12524,6539,4701,3070,9419
224,10528,2104,4079,106,1955,6289,382,12688,14,3247
225,438,107,3998,685,9711,11293,148,10347,5867,9112
226,11643,12321,7539,3514,11278,499,4793,3787,1286,695
227,6825,2456,11258,122,9460,8667,2979,8310,157,10736
228,2708,13168,12210,8540,9710,7654,12164,9784,6485,1033
229,1625,11948,933,6482,972,11349,5209,769,12386,10477
230,9482,10129,8205,12401,4917,1629,3640,10457,10858,414
231,398,699,7085,4273,28,1257,10535,9876,2853,11062
232,3172,8702,3447,10232,12927,6234,7525,12625,7387,9999
233,3366,885,11606,1234,493,474,3802,12586,11381,1411
234,3424,579,546,13300,6914,7009,12759,442,4467,895
235,748,2250,10434,916,5844,12122,169,9945,2825,11791
236,11567,2615,2580,11822,10154,3193,12371,11424,10080,4858
237,2618,834,2793,1267,12853,12524,1069,64,11250,13245
238,201,2669,4279,1409,8092,8198,9707,5489,10848,11221
239,9728,5883,10595,594,5051,1370,11255,5486,6713,4377
240,8467,8190,9089,10656,3759,4790,7230,12829,4347,8244
241,733,161,314,872,12085,9906,12961,11197,8602,4657
242,7861,10855,621,1035,4562,5535,5531,6467,3080,6578
243,1676,5260,12233,6229,5171,12499,3113,5329,2790,4884
244,2506,12861,11408,7689,780,2797,6817,2261,9263,11951
245,8785,19,598,4051,113,4996,6318,1064,8582,4685
246,9633,7168,7123,853,9100,11913,12082,7732,5084,12225
247,3817,2689,1664,7215,10138,1594,2240,6018,352,100
248,509,181,3001,6660,2769,11455,950,4604,11675,3018
249,4495,4854,13370,5548,2620,980,824,7140,13386,2627
250,3664,12954,2559,3654,2145,8198,7366,11825,11773,8438
251,2645,3858,5870,13186,522,6544,10148,11495,9596,12956
252,1,296,4515,8218,767,1506,6973,9926,5562,7249
253,639,6308,5074,11375,10341,12397,7776,1155,4887,11592
254,320,7069,318,6437,11237,67,445,5494,4425,6541
255,16,12114,328,660,44,63,2673,3330,112,8947
256,6470,2692,155,11922,7062,6533,7813,1416,9803,5637
257,13381,10461,9671,12134,4365,354,8491,12182,9425,1792
258,2693,2589,12017,5749,416,7537,2164,7078,7010,5229
259,5391,9789,3267,2935,9159,1341,2152,5598,989,11909
260,45,3678,9056,6915,2089,7641,7363,4532,12161,150
261,134,710,60,5019,58,90,138,8073,11532,3918
262,611,9785,529,13281,6917,2086,12645,8105,5308,1303
263,4616,6609,9026,7037,330,3986,2660,4528,1741,343
264,205,427,1148,129,667,6481,192,1562,10995,7328
265,8218,1506,296,2414,4515,6973,767,252,12776,1
266,3677,5183,5915,8132,6188,6942,13214,7227,5395,10217
267,5643,2815,11960,12003,8018,8693,4853,10822,5307,5485
268,9360,4930,13271,8145,1177,1827,5553,10087,4515,9926
269,2285,9965,1956,12794,4649,9486,1965,1176,6970,13279
270,12089,6370,9598,7605,3300,9877,9174,13005,8006,6928
271,9703,3864,3946,13338,5481,7713,12783,8625,9644,3484
272,504,10601,6182,277,1205,1334,9917,8379,3761,5626
273,5090,8794,740,1300,1591,3843,8439,5082,922,1344
274,9924,4198,2898,1092,3635,7764,7060,3876,10294,4811
275,5469,2920,6930,4992,10984,3743,449,1856,6422,401
276,3428,10201,6754,10081,3178,12910,5552,1632,6326,11846
277,6182,10601,1205,504,1326,272,5626,2103,10499,1334
278,1062,420,526,8887,826,13040,6347,2122,1022,12919
279,899,8180,4985,4075,5132,10939,10504,12894,2278,5531
280,5381,6219,508,7218,652,10900,154,2779,21,6996
281,2514,5678,6393,11228,6953,384,11322,2276,7600,9148
282,144,7864,3207,1120,1801,1403,3138,4305,2429,4381
283,4516,8441,10931,11544,7714,10467,12653,8320,3708,13362
284,1440,943,2323,4996,703,13385,688,10111,5624,1064
285,2061,4582,1917,8609,12700,3604,689,1460,3350,787
286,10358,7332,10141,5929,1859,12471,5389,6365,10827,6986
287,10978,2439,3652,9725,4069,2691,10376,10876,4396,1856
288,49,11323,3512,5218,2482,1351,10630,13186,5439,4172
289,1841,11022,2853,10633,4832,12272,9007,8635,4501,8725
290,7686,5028,13408,8106,8778,9260,1254,13138,12898,4968
291,492,2946,6026,9276,9209,6165,6428,18,7592,7263
292,359,1975,2837,2405,11481,971,791,7402,2819,6958
293,12930,5658,9432,8124,12260,974,1191,8146,6013,11015
294,12672,9118,6977,7552,10955,410,757,8917,12255,934
295,2596,4212,5200,1893,743,8138,10032,8995,726,6863
296,8218,1506,4515,252,1,265,767,6973,2414,5562
297,13313,8202,851,9313,5119,4322,2890,3511,4470,7207
298,13267,4980,11003,388,1060,12805,3665,12862,8722,11879
299,9607,2114,8407,7435,11865,9787,12213,6249,12709,11482
300,353,2018,9802,7748,934,11652,530,3221,7810,5756
301,11391,6286,726,6947,844,2279,4594,11127,5377,12135
302,5111,505,2635,195,3452,5804,7098,4079,2799,1875
303,5613,10576,10033,4116,3665,6354,8739,12805,3625,3150
304,3726,4681,10414,8940,1729,1745,5023,1467,3853,4413
305,9,8213,3881,11779,1730,5723,11505,684,641,8959
306,4973,12280,5654,7270,11771,8389,13041,2578,10561,5266
307,2192,9784,3715,5630,6703,3913,528,6535,10662,4741
308,5466,362,7992,11140,9881,3045,8501,9219,1532,831
309,9486,6970,8869,1176,4649,2265,12131,1146,1750,7798
310,8688,12810,11791,1244,9534,413,11758,11313,5645,10183
311,10747,13224,11804,1096,10330,10445,3935,8438,1739,6682
312,9212,2530,2549,9767,500,12938,36,12875,8222,842
313,2670,11766,2648,711,9643,2398,8143,6352,3102,4931
314,241,733,161,9906,872,12085,8602,11197,12961,4657
315,1446,2473,5254,2118,9312,1201,6866,5992,6530,1555
316,2057,13213,4958,11657,9080,1113,10348,5964,10496,1879
317,5511,5782,5063,9949,3288,8755,7747,8011,8449,4378
318,320,254,7069,6437,11237,67,445,5494,4425,12643
319,13145,7679,5699,6587,2267,4324,3729,1505,4181,7286
320,254,7069,318,6437,11237,445,67,5494,4425,6541
321,4369,413,4353,10434,8688,310,12125,12810,748,5844
322,3991,11898,11031,2903,9702,1726,9145,7072,11206,12116
323,6590,9566,9771,713,5241,5454,3861,9708,3222,2303
324,4666,7855,4637,3880,3740,5516,7153,8200,11605,8746
325,2441,3982,4371,2200,11192,8277,8318,10560,1786,13288
326,84,12454,10674,8949,3764,2065,6557,5155,6998,8113
327,2536,9284,13342,10656,12752,9900,1145,903,2096,5846
328,12114,660,16,8947,255,3084,2707,761,527,8568
329,2921,111,13027,1844,4593,3502,191,2953,9044,559
330,4528,4616,263,7772,9026,6609,3986,7037,1741,2660
331,877,3009,3377,2583,6397,1026,4768,8112,10008,8808
332,8589,7221,2729,9748,7231,896,10268,10520,8630,2756
333,2459,9625,2613,8303,7060,10522,12697,4894,1618,5266
334,11533,7455,6622,947,81,9098,13055,180,855,4735
335,10780,8000,9927,6638,10742,13139,677,2337,3645,5188
336,10966,2241,7706,4634,4668,2757,12155,10311,12395,13389
337,1080,6438,6295,3754,7186,2306,1362,9358,6860,12804
338,22,1264,947,174,13055,5796,9098,855,81,13070
339,2813,1709,2225,8850,9880,8952,7560,2143,219,11759
340,11794,7054,1604,12651,12447,862,9851,9883,10167,6549
341,9376,9856,1245,13379,1555,12179,3781,13318,7809,2314
342,1045,3855,7675,5103,10836,3924,11819,2656,11164,4592
343,9026,6609,3986,4616,7037,2660,4528,1741,5118,263
344,10179,11000,4876,12470,7672,9855,8686,5653,4710,8780
345,5475,5253,688,1440,4996,3167,1722,2042,1064,8582
346,7775,5140,1649,839,9422,1013,577,10619,1258,10490
347,3127,7523,12937,1363,12563,9039,13341,1554,1655,7589
348,5486,9034,1855,817,891,132,5883,239,7790,10357
349,114,9670,6852,11916,10340,12098,2599,5936,4912,5492
350,9542,4381,10568,7708,11288,1403,1684,1120,1801,144
351,2744,8651,1001,4772,8399,1766,73,4115,12590,5507
352,1004,10138,1594,100,3405,955,2020,9073,7870,2483
353,7748,2018,530,300,3221,9802,4074,11652,8373,4633
354,164,4365,9671,7167,11999,12112,8259,7758,9770,11781
355,2975,7633,5464,9496,11145,6652,3700,8489,3842,12813
356,1454,27,3831,11559,6919,3357,5740,4785,9816,949
357,12309,11058,9928,9470,2084,4379,10971,5031,8971,5033
358,4798,4827,8338,7897,6218,9580,7017,10337,3259,2458
359,4470,971,10793,5928,1975,7396,292,8566,7533,53
360,1688,7892,6143,8781,11514,7845,8721,1621,12106,12035
361,556,9435,204,7508,8709,1444,3621,4417,4849,10006
362,5466,308,1532,629,12891,3045,9219,8642,921,9881
363,13339,11591,4209,6147,721,6504,10269,11365,2162,4258
364,6969,421,4400,8485,7296,7524,5115,859,5146,2674
365,7045,1068,2139,1941,13344,1933,4104,11810,1161,1989
366,515,399,5952,1592,7455,11955,2572,5507,4115,8428
367,9125,10159,11732,4632,1863,4694,10867,3790,2970,3285
368,5199,8429,9749,9411,13351,10104,4268,5396,6776,2884
369,1408,7872,5079,12765,444,6265,8912,11199,2776,9228
370,7337,6276,6021,6435,8552,2262,5793,12266,2197,8663
371,1392,11470,2608,3993,9144,2149,2376,11878,2810,2326
372,10989,6985,4800,2290,12343,2557,423,2470,11389,10754
373,3709,8944,9489,1351,9596,4097,3858,209,4204,1988
374,8858,1861,6959,13110,11108,9331,6050,616,3593,2567
375,5058,10973,287,76,3743,10876,1720,6930,69,449
376,4423,1311,11910,13215,10845,7024,12637,6066,1671,8564
377,1561,11465,3378,2982,11048,3299,5245,3024,12909,12504
378,5652,12126,499,10275,6001,12109,12051,1286,8680,7456
379,10019,2041,7336,780,10404,13091,648,2506,5170,6460
380,4191,2167,2000,9886,10240,5073,2047,11994,4912,8775
381,7818,615,1806,13052,1712,586,8900,6905,2181,1049
382,106,12688,6289,4079,11198,3247,11067,8187,620,654
383,12602,8476,12181,2485,866,6702,12581,4141,11165,6636
384,6953,9148,11550,5678,4626,11228,11322,6393,4708,2514
385,1026,1425,7118,877,9222,8682,331,708,3054,8112
386,880,105,5868,723,6196,4748,2149,4842,6019,1448
387,9175,13142,823,4686,7307,873,1711,8093,1304,6559
388,11003,4527,298,5823,13267,3665,11879,4980,12862,12805
389,466,450,7848,4938,5741,796,3088,1143,2301,850
390,8681,4424,7157,6464,4395,9667,6423,212,3929,13117
391,4845,3118,11122,4380,8145,2555,5553,12776,1827,1
392,8397,9202,11285,11032,6543,11802,7400,9572,12038,2246
393,13304,2318,10548,12525,7560,3286,2225,8743,6251,5536
394,5371,8902,8039,12227,595,10952,6305,4792,10668,11435
395,11718,8333,7894,665,4063,7658,1639,4592,5103,1231
396,2071,12054,4355,7116,1185,13180,13223,3234,1288,930
397,1590,7299,10012,4317,7504,7736,5997,4431,2188,1942
398,231,1257,10535,28,7085,4273,699,9876,13276,8960
399,11955,5952,366,3067,11677,81,2572,4620,515,7455
400,6884,9827,1758,7403,9846,13378,3945,13309,8203,6136
401,2632,1856,9725,10978,2439,2920,3652,9885,2691,10876
402,11304,6759,1924,12036,12483,12678,10998,4726,2264,5884
403,907,6107,11589,7644,6511,8689,10381,2954,8864,11534
404,12079,7542,184,1634,2115,4854,249,85,508,10578
405,3517,11022,4501,1841,2227,8635,8725,9867,2787,8098
406,7242,13123,1973,12375,5953,5549,5088,3301,4024,7566
407,11765,4655,2785,5934,13375,11077,2304,6154,10611,1376
408,5701,9062,7784,11339,7859,6975,1831,12904,8705,13365
409,123,113,12725,6851,6157,10806,9407,4861,6771,7715
410,11064,12255,8917,4046,9105,757,3221,11652,530,934
411,1847,4569,12007,3182,798,1182,2480,4142,3237,1633
412,6965,5802,9213,10987,3444,3290,11727,2174,12272,7359
413,5844,8688,310,11791,10183,11758,1244,12810,35,11702
414,12297,12401,10457,9170,9637,8205,1629,4585,2026,6992
415,10926,6351,1303,11971,2071,1185,3823,9233,62,3234
416,2693,2461,7537,258,5749,2589,10465,694,9512,11629
417,11821,8593,7429,3342,9059,12076,3140,6901,6280,8157
418,10491,5921,2568,11296,7774,11458,3906,12614,8847,8676
419,12156,3253,13127,6761,11703,11433,3082,6974,7241,5284
420,1062,679,1022,2378,526,5973,6192,278,10443,12919
421,3914,5146,7296,12359,1018,364,5115,8485,6969,199
422,6459,9967,4928,11072,7131,9769,7365,1214,8077,10792
423,2557,11990,2470,6971,11389,4022,11245,10113,8597,2410
424,10790,10653,9020,1199,9760,10949,2735,9518,2526,890
425,3478,1426,7816,5591,4671,6746,12893,3420,7657,11087
426,6247,12990,9090,10800,3437,2105,8193,3017,1139,4788
427,205,264,1148,129,667,6481,192,1562,10995,7328
428,9891,12123,1571,7087,8463,1175,10433,7839,8926,12196
429,478,748,413,3409,10434,310,12810,12125,4369,916
430,5183,10217,12565,266,12751,5915,3677,13214,7227,9934
431,7259,11297,9531,6598,12860,10997,5383,2633,8772,7965
432,4614,12,864,7670,3616,10774,5849,1547,13177,6342
433,5850,2930,13,537,5667,4021,10532,2658,42,8306
434,1022,10271,6340,5016,4488,1086,3936,4775,8967,9975
435,1050,4246,12366,13383,2861,3019,3852,12421,8303,6055
436,890,2735,5971,10790,731,4162,424,11540,2526,9760
437,8813,2392,10039,5892,1361,9866,1701,12757,10253,4625
438,3998,11293,225,685,10347,107,9711,9112,148,833
439,2355,5215,10003,4011,2126,13332,7878,808,10416,1259
440,1603,958,634,4048,11441,6380,12363,997,11552,10167
441,6887,8978,8400,7569,11479,10220,25,116,10912,11565
442,2275,895,13300,5086,7009,6914,10,8462,7444,9908
443,6794,10882,12588,3281,8395,2022,77,9017,4440,1110
444,1307,5079,12831,2776,8738,3464,6015,1408,739,369
445,7069,67,320,11237,254,318,6437,5494,4425,7515
446,11803,8496,10425,1464,8153,7358,2511,11018,9005,10569
447,10253,12757,4625,5583,12818,3181,6090,2772,8718,7084
448,11661,7898,1646,8471,12432,666,3284,10061,10582,8305
449,8242,7419,10984,2920,401,1856,10978,10876,6581,4396
450,466,389,7848,4938,3088,1143,10651,796,5741,850
451,1138,10238,9665,4628,3010,3896,7701,3426,2493,12831
452,2946,2931,1569,6504,3105,4209,1324,6165,7718,6995
453,6353,4548,11300,7635,221,5920,5054,2942,10930,5055
454,969,13162,3785,4744,10996,4009,11475,7188,7418,1980
455,102,10172,8152,1487,12474,6876,5945,852,4525,8840
456,3394,3543,13063,763,4271,12956,11738,6119,12008,5866
457,7136,157,7261,9460,11258,8125,8310,8667,10736,2979
458,7598,878,3788,1677,11020,12341,4915,1316,9754,149
